# Organism: H. sapiens
# Application version: 3.6.0
# Database version: 13 August 2021 00:00:00
# Network generated on: 22 July 2023
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
NAALADL2	GRM8	0.022151664	Co-expression	Watanabe-Muto-2011
FITM2	HUNK	0.02037973	Co-expression	Watanabe-Muto-2011
POFUT1	FITM2	0.020757219	Co-expression	Watanabe-Muto-2011
ZMYND8	TCF7	0.008316577	Co-expression	Watanabe-Muto-2011
CDHR1	CYP2B6	0.030123854	Co-expression	Watanabe-Muto-2011
EPDR1	CXCL14	0.021906592	Co-expression	Watanabe-Muto-2011
ASPHD2	JAK2	0.018042445	Co-expression	Watanabe-Muto-2011
HPSE	RNF125	0.006104822	Co-expression	Watanabe-Muto-2011
SEMA5A	CYP2B6	0.02077981	Co-expression	Watanabe-Muto-2011
SEMA5A	CDHR1	0.02007672	Co-expression	Watanabe-Muto-2011
TNNC2	FITM2	0.015721323	Co-expression	Watanabe-Muto-2011
OXCT1	ASPHD2	0.014269475	Co-expression	Watanabe-Muto-2011
BCL11A	NKD1	0.020272307	Co-expression	Watanabe-Muto-2011
CTTNBP2	ZMYND8	0.016680982	Co-expression	Watanabe-Muto-2011
CTTNBP2	EPDR1	0.02747344	Co-expression	Watanabe-Muto-2011
LRRC2	GRM8	0.020259561	Co-expression	Watanabe-Muto-2011
LRRC2	NAALADL2	0.01439024	Co-expression	Watanabe-Muto-2011
CEL	BCL11A	0.01889586	Co-expression	Watanabe-Muto-2011
SLC39A5	CYP2B6	0.019285763	Co-expression	Watanabe-Muto-2011
SLC39A5	TINAG	0.022485752	Co-expression	Watanabe-Muto-2011
SLC39A5	CDHR1	0.01868841	Co-expression	Watanabe-Muto-2011
SLC39A5	TNNC2	0.016666058	Co-expression	Watanabe-Muto-2011
RAB27B	ASPHD2	0.014173519	Co-expression	Watanabe-Muto-2011
IHH	GRM8	0.024938775	Co-expression	Watanabe-Muto-2011
IHH	POFUT1	0.0283038	Co-expression	Watanabe-Muto-2011
IHH	NOX1	0.022916684	Co-expression	Watanabe-Muto-2011
GBP4	JAK2	0.019899465	Co-expression	Watanabe-Muto-2011
GBP4	GNLY	0.018405993	Co-expression	Watanabe-Muto-2011
RUBCNL	GRM8	0.026505705	Co-expression	Watanabe-Muto-2011
RUBCNL	NAALADL2	0.017853485	Co-expression	Watanabe-Muto-2011
RUBCNL	CXCL14	0.020981574	Co-expression	Watanabe-Muto-2011
RUBCNL	NOX1	0.026562866	Co-expression	Watanabe-Muto-2011
RUBCNL	EPDR1	0.024469584	Co-expression	Watanabe-Muto-2011
NR1I2	SEMA5A	0.02012499	Co-expression	Watanabe-Muto-2011
GPR143	LRRC2	0.016620655	Co-expression	Watanabe-Muto-2011
TP53RK	GNG4	0.022526251	Co-expression	Watanabe-Muto-2011
TP53RK	EPDR1	0.020887151	Co-expression	Watanabe-Muto-2011
TP53RK	GPR143	0.018000327	Co-expression	Watanabe-Muto-2011
QPRT	GNG4	0.018466368	Co-expression	Watanabe-Muto-2011
QPRT	FITM2	0.011913362	Co-expression	Watanabe-Muto-2011
QPRT	TCF7	0.0091688	Co-expression	Watanabe-Muto-2011
QPRT	ZMYND8	0.011109241	Co-expression	Watanabe-Muto-2011
QPRT	SHROOM4	0.017573068	Co-expression	Watanabe-Muto-2011
QPRT	NKD1	0.01697472	Co-expression	Watanabe-Muto-2011
QPRT	ASCL2	0.018926013	Co-expression	Watanabe-Muto-2011
QPRT	CEL	0.015830448	Co-expression	Watanabe-Muto-2011
ATP9A	CYP2B6	0.028344424	Co-expression	Watanabe-Muto-2011
ATP9A	NAALADL2	0.020535411	Co-expression	Watanabe-Muto-2011
ATP9A	SEMA5A	0.021315552	Co-expression	Watanabe-Muto-2011
IYD	TP53RK	0.021421896	Co-expression	Watanabe-Muto-2011
VAV3	FITM2	0.015796587	Co-expression	Watanabe-Muto-2011
VAV3	TNNC2	0.025024353	Co-expression	Watanabe-Muto-2011
VAV3	TP53RK	0.02014238	Co-expression	Watanabe-Muto-2011
GFI1	RNF125	0.011924211	Co-expression	Watanabe-Muto-2011
MCUB	OXCT1	0.012874709	Co-expression	Watanabe-Muto-2011
MCUB	GNLY	0.012955058	Co-expression	Watanabe-Muto-2011
MCUB	GBP4	0.011552096	Co-expression	Watanabe-Muto-2011
TRIB2	GBP4	0.016428657	Co-expression	Watanabe-Muto-2011
TRIB2	GFI1	0.019947646	Co-expression	Watanabe-Muto-2011
TRIB2	MCUB	0.0120349545	Co-expression	Watanabe-Muto-2011
ZSWIM3	CYP2B6	0.026419625	Co-expression	Watanabe-Muto-2011
ZSWIM3	GGT7	0.029954173	Co-expression	Watanabe-Muto-2011
GZMA	CD274	0.022586592	Co-expression	Watanabe-Muto-2011
GZMA	GNLY	0.027221033	Co-expression	Watanabe-Muto-2011
GZMA	GBP4	0.01615011	Co-expression	Watanabe-Muto-2011
GZMA	GFI1	0.02386387	Co-expression	Watanabe-Muto-2011
GZMA	MCUB	0.011196521	Co-expression	Watanabe-Muto-2011
ENO2	GNLY	0.018869985	Co-expression	Watanabe-Muto-2011
TSPAN6	HUNK	0.018694928	Co-expression	Watanabe-Muto-2011
TSPAN6	CYP2B6	0.016496122	Co-expression	Watanabe-Muto-2011
TSPAN6	GRM8	0.016750319	Co-expression	Watanabe-Muto-2011
TSPAN6	FITM2	0.011073231	Co-expression	Watanabe-Muto-2011
TSPAN6	RAB32	0.020555526	Co-expression	Watanabe-Muto-2011
TSPAN6	CXCL14	0.012948893	Co-expression	Watanabe-Muto-2011
TSPAN6	POFUT1	0.019712575	Co-expression	Watanabe-Muto-2011
TSPAN6	NOX1	0.01660536	Co-expression	Watanabe-Muto-2011
TSPAN6	EPDR1	0.016663207	Co-expression	Watanabe-Muto-2011
TSPAN6	ASCL2	0.016177084	Co-expression	Watanabe-Muto-2011
TSPAN6	CTTNBP2	0.016183324	Co-expression	Watanabe-Muto-2011
TSPAN6	IHH	0.01515634	Co-expression	Watanabe-Muto-2011
TSPAN6	RUBCNL	0.015370246	Co-expression	Watanabe-Muto-2011
TSPAN6	TP53RK	0.013815051	Co-expression	Watanabe-Muto-2011
TSPAN6	VAV3	0.015306003	Co-expression	Watanabe-Muto-2011
PRR15	AMACR	0.018938487	Co-expression	Watanabe-Muto-2011
PRR15	HUNK	0.018010825	Co-expression	Watanabe-Muto-2011
PRR15	GNG4	0.016716303	Co-expression	Watanabe-Muto-2011
PRR15	FITM2	0.0103191435	Co-expression	Watanabe-Muto-2011
PRR15	CXCL14	0.012859702	Co-expression	Watanabe-Muto-2011
PRR15	POFUT1	0.019085119	Co-expression	Watanabe-Muto-2011
PRR15	EPDR1	0.015931403	Co-expression	Watanabe-Muto-2011
PRR15	ASCL2	0.015912764	Co-expression	Watanabe-Muto-2011
PRR15	CTTNBP2	0.01629732	Co-expression	Watanabe-Muto-2011
PRR15	IHH	0.013948777	Co-expression	Watanabe-Muto-2011
PRR15	RUBCNL	0.013867922	Co-expression	Watanabe-Muto-2011
PRR15	TSPAN6	0.010016637	Co-expression	Watanabe-Muto-2011
ENGASE	CYP2B6	0.012022018	Co-expression	Watanabe-Muto-2011
ENGASE	GGT7	0.013581328	Co-expression	Watanabe-Muto-2011
ENGASE	GRM8	0.012317698	Co-expression	Watanabe-Muto-2011
ENGASE	NAALADL2	0.008773331	Co-expression	Watanabe-Muto-2011
ENGASE	CDHR1	0.011842198	Co-expression	Watanabe-Muto-2011
ENGASE	SEMA5A	0.00927773	Co-expression	Watanabe-Muto-2011
ENGASE	DDAH2	0.008012835	Co-expression	Watanabe-Muto-2011
ENGASE	RUBCNL	0.010802129	Co-expression	Watanabe-Muto-2011
ENGASE	NR1I2	0.011640807	Co-expression	Watanabe-Muto-2011
ENGASE	ATP9A	0.012857976	Co-expression	Watanabe-Muto-2011
PLAGL2	GGT7	0.022583144	Co-expression	Watanabe-Muto-2011
PLAGL2	GNG4	0.02053771	Co-expression	Watanabe-Muto-2011
PLAGL2	FITM2	0.01340842	Co-expression	Watanabe-Muto-2011
PLAGL2	POFUT1	0.023751162	Co-expression	Watanabe-Muto-2011
PLAGL2	EPDR1	0.018697996	Co-expression	Watanabe-Muto-2011
PLAGL2	ASCL2	0.019581383	Co-expression	Watanabe-Muto-2011
PLAGL2	BCL11A	0.01564838	Co-expression	Watanabe-Muto-2011
PLAGL2	IHH	0.017309867	Co-expression	Watanabe-Muto-2011
PLAGL2	RUBCNL	0.01798384	Co-expression	Watanabe-Muto-2011
PLAGL2	QPRT	0.013198472	Co-expression	Watanabe-Muto-2011
PLAGL2	TSPAN6	0.012282335	Co-expression	Watanabe-Muto-2011
PPP1R14D	CYP2B6	0.01681312	Co-expression	Watanabe-Muto-2011
PPP1R14D	NOX1	0.01597372	Co-expression	Watanabe-Muto-2011
PPP1R14D	SEMA5A	0.012936213	Co-expression	Watanabe-Muto-2011
PPP1R14D	RUBCNL	0.014751635	Co-expression	Watanabe-Muto-2011
PPP1R14D	QPRT	0.011248852	Co-expression	Watanabe-Muto-2011
PPP1R14D	ATP9A	0.018065827	Co-expression	Watanabe-Muto-2011
PPP1R14D	ENGASE	0.0076404577	Co-expression	Watanabe-Muto-2011
CLDN3	MAPRE3	0.020122707	Co-expression	Watanabe-Muto-2011
CLDN3	GGT7	0.019509306	Co-expression	Watanabe-Muto-2011
CLDN3	DDAH2	0.0115364855	Co-expression	Watanabe-Muto-2011
CLDN3	NR1I2	0.016653063	Co-expression	Watanabe-Muto-2011
UBE2L6	GNLY	0.012181884	Co-expression	Watanabe-Muto-2011
UBE2L6	GBP4	0.012296737	Co-expression	Watanabe-Muto-2011
UBE2L6	MCUB	0.009307904	Co-expression	Watanabe-Muto-2011
UBE2L6	TRIB2	0.011827135	Co-expression	Watanabe-Muto-2011
UBE2L6	GZMA	0.010146033	Co-expression	Watanabe-Muto-2011
AGR2	ASPHD2	0.013671178	Co-expression	Watanabe-Muto-2011
AGR2	OXCT1	0.015641185	Co-expression	Watanabe-Muto-2011
AGR2	RAB27B	0.016303435	Co-expression	Watanabe-Muto-2011
CCDC68	JAK2	0.01959521	Co-expression	Watanabe-Muto-2011
CCDC68	ASPHD2	0.013220371	Co-expression	Watanabe-Muto-2011
CCDC68	GFI1	0.018098583	Co-expression	Watanabe-Muto-2011
CCDC68	GZMA	0.014242411	Co-expression	Watanabe-Muto-2011
DDX27	CYP2B6	0.014860015	Co-expression	Watanabe-Muto-2011
DDX27	TINAG	0.017208816	Co-expression	Watanabe-Muto-2011
DDX27	GGT7	0.017168177	Co-expression	Watanabe-Muto-2011
DDX27	NAALADL2	0.010614805	Co-expression	Watanabe-Muto-2011
DDX27	KHDRBS3	0.01727803	Co-expression	Watanabe-Muto-2011
DDX27	FITM2	0.009935093	Co-expression	Watanabe-Muto-2011
DDX27	POFUT1	0.017462201	Co-expression	Watanabe-Muto-2011
DDX27	RUBCNL	0.012895134	Co-expression	Watanabe-Muto-2011
DDX27	ATP9A	0.016274074	Co-expression	Watanabe-Muto-2011
DDX27	ZSWIM3	0.014930949	Co-expression	Watanabe-Muto-2011
DDX27	TSPAN6	0.009161999	Co-expression	Watanabe-Muto-2011
DDX27	PRR15	0.008512479	Co-expression	Watanabe-Muto-2011
DDX27	ENGASE	0.0068126717	Co-expression	Watanabe-Muto-2011
DDX27	PLAGL2	0.011477604	Co-expression	Watanabe-Muto-2011
DDX27	PPP1R14D	0.009305556	Co-expression	Watanabe-Muto-2011
DDX27	CLDN3	0.009546759	Co-expression	Watanabe-Muto-2011
DUSP4	RNF125	0.007566625	Co-expression	Watanabe-Muto-2011
DUSP4	HPSE	0.007390255	Co-expression	Watanabe-Muto-2011
RNF43	CFTR	0.021283176	Co-expression	Watanabe-Muto-2011
RNF43	HUNK	0.023110049	Co-expression	Watanabe-Muto-2011
RNF43	CYP2B6	0.020436935	Co-expression	Watanabe-Muto-2011
RNF43	FITM2	0.013442033	Co-expression	Watanabe-Muto-2011
RNF43	SHROOM4	0.019334294	Co-expression	Watanabe-Muto-2011
RNF43	EPDR1	0.019505017	Co-expression	Watanabe-Muto-2011
RNF43	ASCL2	0.021302119	Co-expression	Watanabe-Muto-2011
RNF43	CTTNBP2	0.021042438	Co-expression	Watanabe-Muto-2011
RNF43	QPRT	0.013959705	Co-expression	Watanabe-Muto-2011
RNF43	PLAGL2	0.014929788	Co-expression	Watanabe-Muto-2011
RNF43	DDX27	0.011159055	Co-expression	Watanabe-Muto-2011
MOCS3	CFTR	0.01536013	Co-expression	Watanabe-Muto-2011
MOCS3	EPDR1	0.013528817	Co-expression	Watanabe-Muto-2011
MOCS3	TP53RK	0.011878521	Co-expression	Watanabe-Muto-2011
MOCS3	TSPAN6	0.008904716	Co-expression	Watanabe-Muto-2011
GTF2IRD1	GGT7	0.019615568	Co-expression	Watanabe-Muto-2011
GTF2IRD1	AXIN2	0.019132586	Co-expression	Watanabe-Muto-2011
GTF2IRD1	TP53RK	0.014586406	Co-expression	Watanabe-Muto-2011
GTF2IRD1	VAV3	0.015642082	Co-expression	Watanabe-Muto-2011
GTF2IRD1	ZSWIM3	0.017466282	Co-expression	Watanabe-Muto-2011
ACSL6	TCF7	0.0140868435	Co-expression	Watanabe-Muto-2011
ACSL6	QPRT	0.018466132	Co-expression	Watanabe-Muto-2011
FARP1	PLAGL2	0.02344277	Co-expression	Watanabe-Muto-2011
H2AJ	CTTNBP2	0.031634536	Co-expression	Watanabe-Muto-2011
ABAT	FITM2	0.01622986	Co-expression	Watanabe-Muto-2011
ABAT	IHH	0.021665191	Co-expression	Watanabe-Muto-2011
ABAT	VAV3	0.024158709	Co-expression	Watanabe-Muto-2011
ABAT	TSPAN6	0.014953132	Co-expression	Watanabe-Muto-2011
ABAT	PLAGL2	0.018257981	Co-expression	Watanabe-Muto-2011
PPP1R14C	FITM2	0.016220314	Co-expression	Watanabe-Muto-2011
PPP1R14C	CDHR1	0.025096163	Co-expression	Watanabe-Muto-2011
PPP1R14C	SEMA5A	0.018095475	Co-expression	Watanabe-Muto-2011
PPP1R14C	RUBCNL	0.022920826	Co-expression	Watanabe-Muto-2011
PPP1R14C	TSPAN6	0.0146050695	Co-expression	Watanabe-Muto-2011
PPP1R14C	PRR15	0.013819903	Co-expression	Watanabe-Muto-2011
PPP1R14C	ENGASE	0.010388686	Co-expression	Watanabe-Muto-2011
PPP1R14C	PLAGL2	0.01749007	Co-expression	Watanabe-Muto-2011
PPP1R14C	PPP1R14D	0.015860403	Co-expression	Watanabe-Muto-2011
DPEP1	NAALADL2	0.019450486	Co-expression	Watanabe-Muto-2011
DPEP1	RUBCNL	0.02234656	Co-expression	Watanabe-Muto-2011
DPEP1	ATP9A	0.02498662	Co-expression	Watanabe-Muto-2011
DPEP1	TSPAN6	0.01433573	Co-expression	Watanabe-Muto-2011
DPEP1	PRR15	0.014833159	Co-expression	Watanabe-Muto-2011
DPEP1	ENGASE	0.010823827	Co-expression	Watanabe-Muto-2011
DPEP1	DDX27	0.012924306	Co-expression	Watanabe-Muto-2011
DPEP1	RNF43	0.017573636	Co-expression	Watanabe-Muto-2011
