,CLDN11,HGF,CDH1,SEZ6,MLH1,DOCK3,SEZ6L,VTN,EPM2A,CD274,SMAD9,ACVR2A,F12,VEGFC,ALK,TCEA2,CTSF,SEZ6L2,SULT1C4,Age,ZNF43,MSI-ALL
CLDN11,1.0,0.14637638980619222,-0.011525091941169976,0.3863432852751889,0.16718794089869543,0.09821152845083062,0.4612151152799328,0.030126977808974907,0.14449802035753115,-0.0355370135485133,0.21954605200040217,0.1292833574076422,-0.07264330162332978,0.21559361528547943,0.04489593807278051,0.2846752173606269,0.26059515635820313,0.09725291568518671,0.1752268528419676,-0.11225412934348783,0.07273409358015197,-0.14793347764129652
HGF,0.14637638980619222,1.0,-0.13841793117942697,-0.002151405965947772,0.2714897934395391,0.13119670220190277,-0.002338265255146415,-0.03968077046226819,0.2724061041735973,0.012096489099223515,0.28813601404701855,0.28163244670689264,-0.17898440454963446,0.5464432018000078,0.042867486283440594,0.07405615853306258,0.2618672284428484,-0.09239215166284794,0.10758819811989388,-0.08792115967556924,0.1816339003164174,-0.1664249200663632
CDH1,-0.011525091941169976,-0.13841793117942697,1.0,-0.03545110020687284,0.18251015403295195,-0.14062796314868722,-0.01859859945756104,0.06153017883470741,-0.19308902057500663,0.00420656232990089,-0.1706670025387979,0.3633246358846847,0.33644769288575216,-0.17848354521100426,-0.050150899278306606,-0.06683174548630637,-0.11163070627007166,0.42553802671748775,0.016677058249853174,0.09978710425999497,-0.023201710190366733,0.13091441679177834
SEZ6,0.3863432852751889,-0.002151405965947772,-0.03545110020687284,1.0,0.04870618805309012,0.07826397138930737,0.7155904181758422,0.06176216608443175,0.0433722488147033,-0.018976849840986888,0.18099395934098061,0.015652389167760503,-0.026054863106235764,0.02892094744470069,0.030260158915026023,0.06824864481907132,0.13015739940497245,0.1713451771731944,0.052676482401077175,-0.03195325786381875,0.07710644004024361,-0.06804283056213101
MLH1,0.16718794089869543,0.2714897934395391,0.18251015403295195,0.04870618805309012,1.0,0.2544844540011871,0.06851512066256799,0.06691246097320774,0.27918500834986076,0.08585063570355826,0.22315541847274373,0.22982482666920914,-0.2879580699008815,0.21400524388343137,0.13214838667266454,0.32591328452647944,0.2890755598204828,0.15771061292241081,0.1546315078905415,-0.1155845171221853,0.28779376330187545,-0.5090462919474933
DOCK3,0.09821152845083062,0.13119670220190277,-0.14062796314868722,0.07826397138930737,0.2544844540011871,1.0,0.14807463867703444,-0.024937254599074435,0.7999709970393214,-0.05688018425438966,0.32299267426631,0.2811178720192966,-0.15174840769857223,0.267685518209327,0.17975025613035409,0.32445374509702984,0.4228146880091046,-0.08942557611049648,0.1343314418278136,-0.08049922413918029,0.1352856081095329,-0.14795434043918032
SEZ6L,0.4612151152799328,-0.002338265255146415,-0.01859859945756104,0.7155904181758422,0.06851512066256799,0.14807463867703444,1.0,0.11598379436165664,0.09204042450467508,-0.021459444231724988,0.07819325396007344,0.016499641228228824,-0.02936753143291349,0.04042982082439274,0.05961640069110395,0.09967272385152655,0.0858789172938094,0.08130998554694852,0.0625355402616109,-0.07203799845939829,-0.028729534632129385,-0.06276202751193874
VTN,0.030126977808974907,-0.03968077046226819,0.06153017883470741,0.06176216608443175,0.06691246097320774,-0.024937254599074435,0.11598379436165664,1.0,-0.0013849458268764003,-0.022971652111443776,-0.027470135619922086,0.03518752777765368,0.13007366634766282,-0.031378373800035046,-0.01628926078015925,0.23812811691511696,0.07872669053472384,0.11660850895743169,0.06272623924344793,-0.07231403655991119,-0.006365390419033589,-0.04439834304352717
EPM2A,0.14449802035753115,0.2724061041735973,-0.19308902057500663,0.0433722488147033,0.27918500834986076,0.7999709970393214,0.09204042450467508,-0.0013849458268764003,1.0,-0.04736695241467016,0.45503248617027836,0.3107885136739813,-0.16502974034892384,0.3941887441582025,0.2791421357975117,0.43437599243313524,0.5042007543871874,-0.10736285217458444,0.16775495300075743,-0.16721968366435402,0.19804615726100774,-0.14140958158245123
CD274,-0.0355370135485133,0.012096489099223515,0.00420656232990089,-0.018976849840986888,0.08585063570355826,-0.05688018425438966,-0.021459444231724988,-0.022971652111443776,-0.04736695241467016,1.0,-0.045523101109449,-0.08356784285020127,-0.060223577701831066,0.0335960043728308,0.006325674496918738,-0.05710982762454958,-0.07149988544273829,-0.05085014049321585,-0.03277134219921308,0.05716658600421759,-0.009086843387244753,-0.003832415615930987
SMAD9,0.21954605200040217,0.28813601404701855,-0.1706670025387979,0.18099395934098061,0.22315541847274373,0.32299267426631,0.07819325396007344,-0.027470135619922086,0.45503248617027836,-0.045523101109449,1.0,0.21375848221744032,-0.165041871250455,0.32753140301002176,0.1594481677658536,0.3006313770386029,0.2876766468021374,0.09312199579251912,0.09774120103766289,-0.1560054029284677,0.3444147635432156,-0.1324696605716022
ACVR2A,0.1292833574076422,0.28163244670689264,0.3633246358846847,0.015652389167760503,0.22982482666920914,0.2811178720192966,0.016499641228228824,0.03518752777765368,0.3107885136739813,-0.08356784285020127,0.21375848221744032,1.0,0.223390857064483,0.268561603796542,0.04271092025285889,0.09515258441742586,0.16315882581913066,0.15347813256045773,0.08776595384587862,0.011972457983029148,0.19947697383077245,0.15901349247247873
F12,-0.07264330162332978,-0.17898440454963446,0.33644769288575216,-0.026054863106235764,-0.2879580699008815,-0.15174840769857223,-0.02936753143291349,0.13007366634766282,-0.16502974034892384,-0.060223577701831066,-0.165041871250455,0.223390857064483,1.0,-0.08145367266392374,-0.10478122271790553,-0.18672152492373376,-0.1883753648693865,0.12657402434109724,-0.07348001177610655,0.13992071588742291,-0.19736524887779877,0.489026207448248
