USP17L20    TAF11L9    1.0
MPO    ELANE    0.9999945681257956
MPO    AZU1    0.99999162761445
AZU1    ELANE    0.9999867621658736
CLPS    PNLIPRP1    0.9999825514179642
CTRB1    CTRB2    0.9999810071897336
CLPS    CTRB1    0.9999778251076984
CLPS    CTRB2    0.9999760055350054
CTRB2    PNLIPRP1    0.9999679185507712
CLPS    SYCN    0.9999647513396728
SYCN    PNLIPRP1    0.9999617486247756
SYCN    DLK1    0.9999611377326288
CTRB1    PNLIPRP1    0.9999601402094094
CLPS    DLK1    0.9999587249789404
MS4A3    ELANE    0.9999568714538049
CTRB2    SYCN    0.999956785715998
MPO    MS4A3    0.9999543239210594
MS4A3    AZU1    0.9999523871421642
DLK1    PNLIPRP1    0.9999521107138136
CTRB2    DLK1    0.9999464783765222
CTRB1    SYCN    0.9999407272134964
CTRB1    DLK1    0.9999213737034656
TSPY10    TSPY1    0.9998960908298684
CSH1    CSH2    0.9998730883117034
TSPY9P    TSPY1    0.999856686865346
SPX    DLK1    0.9998295618870274
SPX    SYCN    0.999822591752836
SPX    CLPS    0.9998202415318338
SPX    PNLIPRP1    0.9998146955671012
PLA2G1B    SYCN    0.9998098252860468
MPO    PRTN3    0.999807015928962
PRTN3    ELANE    0.999805077706838
SPX    CTRB2    0.999803890062511
AZU1    PRTN3    0.9997998856471784
CPA1    CTRB1    0.9997854134280784
CPA1    PNLIPRP1    0.9997819790873947
SPX    CTRB1    0.999777781571936
MS4A3    PRTN3    0.9997726989672232
CPA1    CLPS    0.9997703839021176
CPA1    CTRB2    0.9997646168260644
TSPY10    TSPY9P    0.9997275926299564
MS4A3    DEFA4    0.9997268883362588
MPO    DEFA4    0.9997197889593152
DEFA4    AZU1    0.999719146645494
CPA2    SYCN    0.9997182255245338
DEFA4    ELANE    0.9997067472567732
CTRB1    PLA2G1B    0.999697818011081
AFM    ALB    0.99969454557248
CLPS    PLA2G1B    0.999685569739136
PLA2G1B    PNLIPRP1    0.9996854737209174
CTRB2    PLA2G1B    0.9996845258163723
CPA2    PNLIPRP1    0.9996781937963036
CPA2    PLA2G1B    0.999666892194299
CPA1    SYCN    0.999664270027457
MYBPH    LCN1    0.9996568219179872
CLPS    CPA2    0.9996490070775054
PLA2G1B    DLK1    0.9996432429574718
CPA2    DLK1    0.9996357246102456
RBPJL    SYCN    0.9996344181584402
REG3G    PNLIPRP1    0.9996337856773896
REG3G    DLK1    0.9996312956287008
CPA1    DLK1    0.9996294849304226
CPA2    CTRB2    0.9996259661068212
CLPS    REG3G    0.9996258217373006
REG3G    SYCN    0.9996236589902944
RBPJL    PNLIPRP1    0.9996172631667664
CPA2    CTRB1    0.9996137556862924
REG3G    CTRB2    0.999612554006608
RBPJL    DLK1    0.9995895135474472
REG3G    CTRB1    0.9995873055410358
RBPJL    CLPS    0.9995669950146884
RBPJL    CTRB2    0.9995532986203908
RBPJL    CTRB1    0.999530775118979
DEFA4    PRTN3    0.9995256573517428
CPA1    CPA2    0.9995096530762506
SPX    PLA2G1B    0.9995045402342976
CPA1    SPX    0.9994879007432068
RBPJL    SPX    0.9994828825615064
SPX    CPA2    0.999481368525628
SPX    REG3G    0.9994735611990015
RBPJL    PLA2G1B    0.9994629979864328
CPA1    PLA2G1B    0.999460735699592
RBPJL    CPA2    0.99940364309715
REG3G    PLA2G1B    0.9993041591610612
MS4A3    RNASE3    0.9993032339274678
CPA1    REG3G    0.9993005435452672
REG3G    CPA2    0.99929295094656
RNASE3    AZU1    0.9992616056134072
MPO    RNASE3    0.9992544462910998
CPA1    RBPJL    0.999253947779836
RNASE3    ELANE    0.9992539465119764
RBPJL    REG3G    0.9992049609001108
CDC20B    USP17L22    0.9991620387676754
DEFA4    RNASE3    0.9991464238087788
AQP8    PNLIPRP1    0.999129643644578
TSPY2    TSPY10    0.999090330399249
AQP8    SYCN    0.9990740766680798
RNASE3    PRTN3    0.9990674241164104
AQP8    CLPS    0.9990621305946862
AQP8    DLK1    0.9990469967821454
AQP8    CTRB2    0.9990420226630417
AQP8    CTRB1    0.9990299642666572
AQP8    CPA2    0.9990252755394008
AQP8    RBPJL    0.9990055169149108
SPX    GRIK1    0.9989621299939292
AQP8    SPX    0.9989414534000198
TSPY2    TSPY1    0.9989210832844572
CPA1    AQP8    0.99885808710301
AQP8    PLA2G1B    0.99879558590851
AFM    CCL16    0.9987300219221958
BPI    DEFA4    0.99871356129935
AQP8    REG3G    0.9987103565237712
BPI    MS4A3    0.9987074713193804
BPI    AZU1    0.998638180709028
BPI    ELANE    0.9986265156467716
MPO    BPI    0.9986171026596348
TSPY2    TSPY4    0.9985949106154371
AFM    AFP    0.9985176626044524
GRIK1    SYCN    0.9985123268123716
GRIK1    PNLIPRP1    0.9985101079549606
CLPS    GRIK1    0.9985010909552976
GRIK1    DLK1    0.9984913671921538
ERP27    PNLIPRP1    0.998479498137722
ALB    CCL16    0.9984768658711528
