TSPAN6 avgexpression:6.531377
t2=12.915237  pval2=0.000000
t3=7.904128  pval3=0.000000
TNMD avgexpression:1.433064
t2=7.143029  pval2=0.000000
t3=5.590232  pval3=0.000000
DPM1 avgexpression:7.002736
t2=8.778768  pval2=0.000000
t3=6.072137  pval3=0.000000
SCYL3 avgexpression:2.882081
t2=2.379741  pval2=0.017826
t3=0.576089  pval3=0.565340
C1orf112 avgexpression:2.590691
t2=2.960682  pval2=0.003265
t3=1.271947  pval3=0.205182
FGR avgexpression:2.698017
t2=-6.363294  pval2=0.000000
t3=-5.197282  pval3=0.000001
CFH avgexpression:3.128293
t2=-3.188401  pval2=0.001551
t3=-3.334908  pval3=0.001054
FUCA2 avgexpression:6.219233
t2=1.268064  pval2=0.205564
t3=0.983555  pval3=0.326774
GCLC avgexpression:4.125170
t2=4.197085  pval2=0.000034
t3=2.883068  pval3=0.004463
NFYA avgexpression:4.829694
t2=2.584775  pval2=0.010122
t3=2.104312  pval3=0.036867
STPG1 avgexpression:2.244455
t2=-2.373264  pval2=0.018136
t3=-3.193965  pval3=0.001681
NIPAL3 avgexpression:3.912237
t2=-1.061710  pval2=0.289052
t3=-1.911800  pval3=0.057635
LAS1L avgexpression:3.996890
t2=5.177418  pval2=0.000000
t3=3.937709  pval3=0.000121
ENPP4 avgexpression:4.358247
t2=1.180736  pval2=0.238458
t3=0.097441  pval3=0.922495
SEMA3F avgexpression:4.573876
t2=2.753943  pval2=0.006176
t3=2.029159  pval3=0.044049
CFTR avgexpression:5.549052
t2=12.376773  pval2=0.000000
t3=8.077730  pval3=0.000000
ANKIB1 avgexpression:4.558339
t2=3.133447  pval2=0.001864
t3=1.245237  pval3=0.214810
CYP51A1 avgexpression:2.587702
t2=2.193329  pval2=0.028899
t3=0.647934  pval3=0.517928
KRIT1 avgexpression:2.054982
t2=4.559400  pval2=0.000007
t3=3.237915  pval3=0.001456
RAD52 avgexpression:2.973583
t2=1.258498  pval2=0.208997
t3=0.281346  pval3=0.778797
BAD avgexpression:4.332080
t2=0.507451  pval2=0.612137
t3=1.043746  pval3=0.298130
LAP3 avgexpression:6.484889
t2=-7.361317  pval2=0.000000
t3=-5.579002  pval3=0.000000
CD99 avgexpression:6.826214
t2=0.990820  pval2=0.322414
t3=0.036199  pval3=0.971168
CD99 avgexpression:0.000000
t2=nan  pval2=nan
t3=nan  pval3=nan
HS3ST1 avgexpression:2.681451
t2=-7.612747  pval2=0.000000
t3=-5.116719  pval3=0.000001
AOC1 avgexpression:7.281703
t2=6.782685  pval2=0.000000
t3=4.234796  pval3=0.000038
WNT16 avgexpression:0.243438
t2=-0.613595  pval2=0.539856
t3=-0.455487  pval3=0.649357
HECW1 avgexpression:0.341048
t2=0.439580  pval2=0.660495
t3=-0.435727  pval3=0.663605
MAD1L1 avgexpression:0.269815
t2=-4.359017  pval2=0.000017
t3=-4.485245  pval3=0.000014
LASP1 avgexpression:7.184722
t2=0.538054  pval2=0.590860
t3=-0.329949  pval3=0.741857
SNX11 avgexpression:4.304593
t2=-0.227879  pval2=0.819865
t3=-0.910210  pval3=0.364039
TMEM176A avgexpression:7.142635
t2=11.697023  pval2=0.000000
t3=7.928851  pval3=0.000000
M6PR avgexpression:5.993934
t2=-0.393425  pval2=0.694230
t3=-0.637960  pval3=0.524384
KLHL13 avgexpression:1.455489
t2=0.999079  pval2=0.318402
t3=-1.007681  pval3=0.315083
CYP26B1 avgexpression:1.324682
t2=-3.038847  pval2=0.002542
t3=-2.548363  pval3=0.011735
ICA1 avgexpression:5.313185
t2=4.994402  pval2=0.000001
t3=3.577069  pval3=0.000456
DBNDD1 avgexpression:3.885236
t2=0.165812  pval2=0.868394
t3=0.227869  pval3=0.820030
ALS2 avgexpression:2.874839
t2=-3.888337  pval2=0.000119
t3=-2.786268  pval3=0.005957
CASP10 avgexpression:4.007404
t2=-5.461720  pval2=0.000000
t3=-3.985607  pval3=0.000101
CFLAR avgexpression:3.600215
t2=-0.789725  pval2=0.430189
t3=-1.617400  pval3=0.107702
TFPI avgexpression:2.318369
t2=-2.925822  pval2=0.003645
t3=-1.870363  pval3=0.063205
NDUFAF7 avgexpression:3.636114
t2=2.003617  pval2=0.045832
t3=0.986550  pval3=0.325308
RBM5 avgexpression:4.095143
t2=-0.125173  pval2=0.900454
t3=0.608095  pval3=0.543960
MTMR7 avgexpression:0.446218
t2=-3.741012  pval2=0.000212
t3=-2.386931  pval3=0.018121
SLC7A2 avgexpression:1.349761
t2=-4.230800  pval2=0.000029
t3=-2.998842  pval3=0.003130
ARF5 avgexpression:7.591823
t2=4.590645  pval2=0.000006
t3=3.197502  pval3=0.001662
SARM1 avgexpression:1.392256
t2=1.467993  pval2=0.142947
t3=0.307125  pval3=0.759136
POLDIP2 avgexpression:7.376912
t2=2.932257  pval2=0.003572
t3=1.769998  pval3=0.078574
PLXND1 avgexpression:4.433167
t2=-4.710054  pval2=0.000003
t3=-3.982024  pval3=0.000102
AK2 avgexpression:5.572122
t2=-2.690387  pval2=0.007457
t3=-2.534805  pval3=0.012181
CD38 avgexpression:1.568433
t2=-3.850227  pval2=0.000139
t3=-3.396349  pval3=0.000856
FKBP4 avgexpression:6.737667
t2=-1.182839  pval2=0.237624
t3=-1.104716  pval3=0.270891
KDM1A avgexpression:6.101042
t2=-0.369227  pval2=0.712167
t3=-0.476227  pval3=0.634543
RBM6 avgexpression:4.780617
t2=2.907968  pval2=0.003855
t3=2.518243  pval3=0.012747
CAMKK1 avgexpression:2.836018
t2=-1.180472  pval2=0.238563
t3=-1.232686  pval3=0.219446
RECQL avgexpression:3.868474
t2=-0.679799  pval2=0.497052
t3=-1.466999  pval3=0.144280
VPS50 avgexpression:3.230495
t2=3.230782  pval2=0.001344
t3=1.377946  pval3=0.170086
HSPB6 avgexpression:2.185809
t2=3.418758  pval2=0.000698
t3=1.759099  pval3=0.080414
ARHGAP33 avgexpression:2.436278
t2=3.536749  pval2=0.000456
t3=2.642556  pval3=0.009021
